, ROLL NO. ,CS201,CH201,M201,ME201,ES201,CS291,CH291,ES291,ME291, SGPA1 , SGPA2 , YGPA , DGPA , RESULT 
0, 10900113001 ,C,B,C,D,B,E,A,O,A,7.15,6.97,7.05,0.00,P
1, 10900113002 ,A,A,B,E,E,O,E,O,O,8.11,8.69,8.41,0.00,P
2, 10900113003 ,E,A,A,B,B,O,E,A,E,7.93,8.17,8.05,0.00,P
3, 10900113004 ,B,A,A,B,B,E,A,E,A,8.22,7.72,7.96,0.00,P
4, 10900113005 ,F,F,F,F,F,C,C,A,F,3.63,2.97,3.29,0.00,XP
5, 10900113006 ,B,B,C,A,E,O,A,E,E,8.04,7.90,7.96,0.00,P
6, 10900113007 ,A,A,B,E,B,E,E,E,A,7.67,8.07,7.88,0.00,P
7, 10900113008 ,B,B,B,B,B,O,A,E,A,7.00,7.52,7.27,0.00,P
8, 10900113009 ,A,A,E,E,A,O,E,O,O,8.93,8.83,8.88,0.00,P
9, 10900113010 ,F,D,C,B,F,B,E,E,O,5.85,5.79,5.82,0.00,XP
10, 10900113011 ,C,B,A,C,B,A,E,E,E,7.22,7.41,7.32,0.00,P
11, 10900113012 ,D,F,D,C,F,B,B,E,B,4.78,5.07,4.93,0.00,XP
12, 10900113013 ,A,C,E,E,E,O,E,O,O,8.04,8.69,8.38,0.00,P
13, 10900113014 ,B,B,A,E,A,O,E,E,A,8.07,8.14,8.11,0.00,P
14, 10900113015 ,A,B,E,A,E,O,E,E,E,7.74,8.52,8.14,0.00,P
15, 10900113016 ,A,C,B,C,B,A,A,O,O,6.89,7.52,7.21,0.00,P
16, 10900113017 ,E,A,A,E,A,O,A,E,O,8.63,8.69,8.66,0.00,P
17, 10900113018 ,A,C,A,B,B,E,A,O,O,7.19,7.86,7.54,0.00,P
18, 10900113019 ,A,B,C,A,C,E,A,E,A,7.59,7.45,7.52,0.00,P
19, 10900113020 ,B,C,A,A,B,A,E,E,E,6.48,7.69,7.11,0.00,P
20, 10900113021 ,C,B,C,B,D,E,A,O,E,6.56,7.07,6.82,0.00,P
21, 10900113022 ,A,B,C,B,C,E,A,E,E,7.04,7.41,7.23,0.00,P
22, 10900113023 ,A,A,E,A,B,E,A,E,E,7.67,8.24,7.96,0.00,P
23, 10900113025 ,D,D,C,C,F,B,B,A,C,6.04,5.45,5.73,0.00,XP
24, 10900113026 ,A,E,O,E,E,E,A,E,E,8.41,8.93,8.68,0.00,P
25, 10900113027 ,E,A,A,C,C,O,A,O,E,7.78,7.97,7.88,0.00,P
26, 10900113028 ,C,A,E,A,B,E,A,O,A,7.22,7.93,7.59,0.00,P
27, 10900113029 ,B,D,B,A,D,O,A,E,B,5.89,7.00,6.46,0.00,XP
28, 10900113030 ,A,C,A,B,B,E,E,E,O,7.26,7.86,7.57,0.00,P
29, 10900113031 ,A,B,C,B,D,E,A,E,O,7.00,7.38,7.20,0.00,P
30, 10900113032 ,D,C,D,B,D,C,C,A,F,6.37,5.45,5.89,0.00,XP
31, 10900113033 ,O,C,O,C,A,O,O,E,E,8.15,8.45,8.30,0.00,P
32, 10900113034 ,C,C,C,B,C,E,B,E,B,6.52,6.72,6.63,0.00,XP
33, 10900113035 ,C,D,C,F,D,E,B,E,B,7.19,5.76,6.45,0.00,XP
34, 10900113036 ,E,A,A,E,A,O,A,E,A,8.11,8.48,8.30,0.00,P
35, 10900113037 ,B,D,D,D,D,A,C,A,B,7.11,5.97,6.52,0.00,P
36, 10900113038 ,B,B,A,B,C,E,A,O,O,7.67,7.72,7.70,0.00,P
37, 10900113039 ,A,B,E,B,A,O,O,E,A,8.04,8.21,8.13,0.00,P
38, 10900113040 ,A,A,B,B,A,E,E,E,E,7.96,8.03,8.00,0.00,P
39, 10900113041 ,E,C,B,D,C,E,B,E,B,7.00,7.00,7.00,0.00,P
40, 10900113042 ,C,C,C,C,D,E,B,A,A,6.30,6.48,6.39,0.00,P
41, 10900113043 ,A,A,B,B,A,E,A,E,E,8.30,7.97,8.13,0.00,P
42, 10900113044 ,C,C,C,C,D,A,C,A,A,5.63,6.34,6.00,0.00,XP
43, 10900113045 ,A,A,A,B,C,A,A,E,A,7.33,7.66,7.50,0.00,P
44, 10900113046 ,B,A,C,A,B,E,A,E,E,7.93,7.69,7.80,0.00,P
45, 10900113047 ,E,A,E,B,B,O,A,A,E,8.22,8.24,8.23,0.00,P
46, 10900113048 ,A,B,C,B,A,O,E,O,O,8.30,8.00,8.14,0.00,P
47, 10900113049 ,A,A,C,A,B,B,E,E,E,7.67,7.76,7.71,0.00,P
48, 10900113050 ,C,D,C,B,F,E,C,E,A,4.89,6.07,5.50,0.00,XP
49, 10900113051 ,B,A,B,B,B,E,E,E,E,8.48,7.76,8.11,0.00,P
50, 10900113052 ,F,C,C,B,B,A,B,E,A,7.07,6.34,6.70,0.00,XP
51, 10900113053 ,C,D,C,C,F,E,B,A,B,5.44,5.83,5.64,0.00,XP
52, 10900113054 ,A,B,A,B,C,O,E,E,E,6.56,7.83,7.21,0.00,P
53, 10900113055 ,A,B,O,A,A,O,E,E,O,7.48,8.62,8.07,0.00,P
54, 10900113056 ,C,D,B,A,C,E,A,E,E,7.04,7.14,7.09,0.00,P
55, 10900113057 ,B,D,C,D,D,A,A,A,A,6.30,6.34,6.32,0.00,XP
56, 10900113058 ,A,A,B,E,B,O,E,E,E,8.19,8.24,8.21,0.00,P
57, 10900113059 ,B,B,C,A,A,E,A,O,E,7.81,7.76,7.79,0.00,P
58, 10900113060 ,D,C,D,A,C,B,B,A,C,6.67,6.28,6.46,0.00,P
59, 10900113061 ,D,D,B,C,D,E,C,E,B,5.70,6.24,5.98,0.00,XP
60, 10900113062 ,B,C,C,C,B,O,A,A,E,6.85,7.14,7.00,0.00,P
61, 10900113063 ,A,C,A,C,B,E,E,O,E,7.52,7.69,7.61,0.00,P
62, 10900113064 ,A,A,A,A,E,O,E,O,E,8.04,8.59,8.32,0.00,P
63, 10900113065 ,B,B,C,B,B,E,E,A,O,7.52,7.52,7.52,0.00,P
64, 10900113066 ,A,D,D,C,C,A,A,E,E,6.81,6.79,6.80,0.00,P
65, 10900113067 ,B,C,O,E,A,O,A,E,E,7.26,8.31,7.80,0.00,P
66, 10900113068 ,A,C,B,B,B,O,A,E,A,6.78,7.52,7.16,0.00,P
67, 10900113069 ,A,B,B,A,A,E,E,E,E,7.96,8.03,8.00,0.00,P
68, 10900113070 ,B,B,B,C,B,A,E,E,A,7.85,7.31,7.57,0.00,P
69, 10900113071 ,E,C,A,C,B,O,E,O,O,7.52,8.00,7.77,0.00,P
70, 10900113072 ,B,B,A,A,C,O,A,E,O,7.67,7.86,7.77,0.00,P
71, 10900113073 ,D,B,A,C,C,E,A,O,E,7.04,7.21,7.13,0.00,P
72, 10900113074 ,D,B,A,C,C,E,A,A,A,6.52,6.97,6.75,0.00,P
73, 10900113075 ,B,D,A,C,C,E,A,E,O,5.93,7.24,6.61,0.00,XP
74, 10900113076 ,E,B,A,C,B,E,A,E,O,7.70,7.93,7.82,0.00,P
75, 10900113077 ,B,C,A,C,B,O,B,E,O,7.56,7.52,7.54,0.00,P
76, 10900113078 ,D,C,B,D,D,B,B,E,B,5.56,6.17,5.88,0.00,XP
77, 10900113079 ,E,A,A,E,O,O,A,O,O,9.00,9.03,9.02,0.00,P
78, 10900113080 ,E,A,A,E,E,E,O,O,E,8.89,8.86,8.88,0.00,P
79, 10900113081 ,B,F,B,C,D,A,A,A,E,6.52,6.31,6.41,0.00,XP
80, 10900113082 ,C,D,D,F,F,A,B,E,D,5.52,4.93,5.21,0.00,XP
81, 10900113083 ,O,O,O,O,E,O,O,O,O,9.11,9.86,9.50,0.00,P
82, 10900113084 ,E,A,O,E,B,A,E,O,E,7.44,8.72,8.11,0.00,P
83, 10900113085 ,E,C,A,C,B,E,A,E,A,7.11,7.59,7.36,0.00,P
84, 10900113086 ,B,B,B,A,B,A,E,E,A,7.89,7.59,7.73,0.00,P
85, 10900113087 ,E,B,E,A,A,O,A,E,O,7.63,8.55,8.11,0.00,P
86, 10900113088 ,A,B,B,B,B,A,B,E,B,7.33,7.34,7.34,0.00,P
87, 10900113089 ,E,B,E,A,A,A,A,E,A,7.96,8.21,8.09,0.00,P
88, 10900113090 ,A,C,C,B,B,A,E,A,E,6.74,7.34,7.05,0.00,P
89, 10900113091 ,A,C,B,A,C,E,A,O,A,7.48,7.52,7.50,0.00,P
90, 10900113092 ,A,A,C,B,A,E,E,O,E,7.22,7.97,7.61,0.00,P
91, 10900113093 ,A,B,B,B,C,E,E,O,E,7.96,7.69,7.82,0.00,P
92, 10900113094 ,B,C,C,C,B,E,B,O,A,7.22,7.03,7.13,0.00,P
93, 10900113095 ,C,D,C,F,D,A,B,E,C,6.63,5.59,6.09,0.00,XP
94, 10900113096 ,E,F,C,D,D,O,B,E,E,7.04,6.45,6.73,0.00,XP
95, 10900113097 ,B,F,D,D,D,O,B,E,B,5.81,5.83,5.82,0.00,XP
96, 10900113098 ,B,F,I,I,D,B,I,E,I,6.37,3.93,5.11,0.00,XP
97, 10900113099 ,B,A,B,B,B,B,A,E,B,7.07,7.34,7.21,0.00,P
98, 10900113100 ,A,A,B,A,A,A,E,E,E,8.30,8.10,8.20,0.00,P
99, 10900113101 ,E,E,B,A,B,A,E,O,A,8.19,8.21,8.20,0.00,P
100, 10900113102 ,A,E,B,E,A,E,E,E,O,8.19,8.55,8.38,0.00,P
101, 10900113103 ,E,D,B,D,D,E,B,E,O,6.89,7.03,6.96,0.00,P
102, 10900113104 ,E,C,C,C,B,O,B,E,B,5.85,7.21,6.55,0.00,XP
103, 10900113105 ,O,A,C,C,A,O,B,E,C,7.44,7.66,7.55,0.00,P
104, 10900113106 ,O,C,A,D,B,O,A,E,A,6.96,7.66,7.32,0.00,P
105, 10900113107 ,D,F,F,F,F,C,C,B,F,4.56,3.31,3.91,0.00,XP
106, 10900113108 ,O,E,E,A,B,E,E,O,O,8.52,8.90,8.71,0.00,P
107, 10900113109 ,E,A,A,C,B,E,A,E,A,6.96,7.86,7.43,0.00,P
108, 10900113110 ,E,A,E,A,B,O,A,O,O,8.19,8.62,8.41,0.00,P
109, 10900113111 ,O,E,E,E,A,O,O,O,O,8.56,9.31,8.95,0.00,P
110, 10900113112 ,E,A,E,A,C,E,E,E,E,7.26,8.31,7.80,0.00,P
111, 10900113113 ,F,B,D,C,C,E,E,E,A,7.26,6.28,6.75,0.00,XP
112, 10900113114 ,E,A,E,B,B,O,A,O,A,7.15,8.28,7.73,0.00,P
