, ROLL NO. ,HU301,PH301,CH301,CS301,CS302,CS303,PH391,CS391,CS392,CS393, SGPA 
0, 10900112123 ,C,I,B,C,B,C,B,A,A,A,6.17
1, 10900113001 ,B,C,A,F,B,C,O,E,E,A,6.86
2, 10900113002 ,A,E,A,D,E,E,A,E,E,O,8.38
3, 10900113003 ,B,B,E,C,A,C,O,O,E,O,7.86
4, 10900113004 ,A,A,E,D,E,A,O,O,E,O,8.41
5, 10900113005 ,I,F,F,F,D,I,F,C,B,C,3.31
6, 10900113006 ,B,B,E,D,E,A,E,O,O,O,8.17
7, 10900113007 ,B,C,A,C,A,D,E,O,E,A,7.28
8, 10900113008 ,C,D,B,F,B,F,A,E,B,B,5.62
9, 10900113009 ,A,E,E,B,E,A,E,E,O,O,8.69
10, 10900113010 ,B,F,C,D,B,D,B,E,E,B,6.00
11, 10900113011 ,C,C,A,C,A,C,A,E,E,A,7.17
12, 10900113012 ,C,F,C,F,C,F,B,B,B,A,4.83
13, 10900113013 ,B,A,A,B,E,A,E,E,O,O,8.34
14, 10900113014 ,B,B,E,C,A,C,A,O,E,E,7.66
15, 10900113015 ,B,B,B,E,B,B,E,E,E,A,7.69
16, 10900113016 ,B,C,B,B,A,C,A,E,E,O,7.41
17, 10900113017 ,B,A,A,B,B,B,O,E,E,E,7.86
18, 10900113018 ,B,B,B,A,A,C,E,E,A,E,7.59
19, 10900113019 ,C,A,B,B,C,B,A,E,E,O,7.45
20, 10900113020 ,B,B,A,D,A,C,B,E,E,A,7.24
21, 10900113021 ,B,D,B,D,A,C,B,A,A,A,6.72
22, 10900113022 ,B,C,B,C,B,C,A,O,A,A,7.03
23, 10900113023 ,A,A,A,A,A,C,E,O,E,O,8.14
24, 10900113025 ,C,F,C,D,D,F,A,E,B,B,5.14
25, 10900113026 ,A,E,E,A,A,E,E,E,E,O,8.72
26, 10900113027 ,A,B,A,C,B,B,E,O,E,B,7.59
27, 10900113028 ,B,B,B,C,A,C,E,E,A,A,7.31
28, 10900113029 ,A,F,B,F,C,D,E,E,A,B,5.83
29, 10900113030 ,B,B,B,C,B,B,A,E,E,E,7.38
30, 10900113031 ,E,B,A,A,A,B,A,O,A,A,7.97
31, 10900113032 ,A,C,E,B,A,C,E,E,A,E,7.66
32, 10900113033 ,A,B,A,B,E,B,E,O,E,O,8.17
33, 10900113034 ,B,A,D,D,A,C,A,E,O,E,7.28
34, 10900113035 ,B,F,C,D,C,F,A,E,A,A,5.52
35, 10900113036 ,E,B,E,C,E,B,E,E,E,E,8.14
36, 10900113037 ,B,D,C,F,C,C,B,E,A,B,6.03
37, 10900113038 ,A,B,B,B,E,B,A,E,O,O,8.00
38, 10900113039 ,E,C,A,B,E,B,E,E,A,E,7.93
39, 10900113040 ,A,C,A,A,A,B,A,E,A,E,7.72
40, 10900113041 ,B,D,C,C,B,D,A,A,E,A,6.59
41, 10900113042 ,B,F,A,C,B,D,B,E,B,A,6.24
42, 10900113043 ,A,A,A,B,E,B,O,E,E,A,8.17
43, 10900113044 ,A,F,D,F,C,F,B,A,B,C,4.86
44, 10900113045 ,B,B,B,C,A,F,A,E,A,A,6.69
45, 10900113046 ,A,D,B,D,B,D,A,A,B,A,6.55
46, 10900113047 ,B,C,C,C,D,D,B,A,A,A,6.31
47, 10900113048 ,A,C,A,B,A,C,E,E,O,A,7.62
48, 10900113049 ,B,D,A,D,A,C,E,E,E,E,7.17
49, 10900113050 ,A,D,D,F,C,D,B,B,B,B,5.69
50, 10900113051 ,A,B,A,B,A,C,E,A,B,E,7.55
51, 10900113052 ,A,F,C,F,C,F,B,A,A,B,5.10
52, 10900113053 ,A,D,C,F,C,F,C,B,A,B,5.38
53, 10900113054 ,A,B,B,C,E,B,O,E,E,O,7.97
54, 10900113055 ,A,B,E,B,E,A,O,E,O,O,8.48
55, 10900113056 ,A,B,B,C,C,C,B,A,B,A,6.86
