,CS201,CH201,M201,ME201,ES201,CS291,CH291,ES291,ME291,HU301,PH301,CH301,CS301,CS302,CS303,PH391,CS391,CS392,CS393,M(CS)401,M401,CS401,CS402,CS403,HU481,M(CS)491,CS491,CS492,CS493,HU501,CS501,CS502,CS503,CS504D,CS591,CS592,CS593,CS594D,HU601,CS601,CS602,CS603,CS604A/ CS604B,CS605A,CS691,CS692,CS693,CS681
10900113001,6,7,6,5,7,9,8,10,8,7,6,8,4,7,6,10,9,9,8,8,7,8,8,8,10,9,9,9,10,7,8,8,7,8,8,9,9,9,8,8,8,7,6,8,9,8,9,9
10900113002,8,8,7,9,9,10,9,10,10,8,9,8,5,9,9,8,9,9,10,10,9,8,8,9,10,10,9,10,10,8,9,10,9,9,10,10,10,10,8,8,8,10,7,10,10,10,10,10
10900113003,9,8,8,7,7,10,9,8,9,7,7,9,6,8,6,10,10,9,10,8,8,8,8,7,10,8,9,10,9,8,9,9,6,8,9,10,10,9,7,8,7,7,5,8,9,8,10,9
10900113004,7,8,8,7,7,9,8,9,8,8,8,9,5,9,8,10,10,9,10,9,8,9,8,7,10,10,10,9,10,7,8,8,9,9,9,10,9,10,8,9,7,8,6,10,9,10,10,9
10900113006,7,7,6,8,9,10,8,9,9,7,7,9,5,9,8,9,10,10,10,9,8,7,7,7,10,9,10,9,9,7,9,9,8,9,10,10,10,10,7,8,7,8,7,9,10,8,10,9
10900113007,8,8,7,9,7,9,9,9,8,7,6,8,6,8,5,9,10,9,8,9,7,9,7,8,9,9,10,9,10,7,9,8,7,8,9,9,9,10,8,8,8,8,6,10,9,9,10,9
10900113008,7,7,7,7,7,10,8,9,8,6,5,7,4,7,4,8,9,7,7,7,5,7,6,6,9,7,9,9,9,5,8,6,6,6,8,8,9,7,8,7,7,8,6,7,8,8,8,8
10900113009,8,8,9,9,8,10,9,10,10,8,9,9,7,9,8,9,9,10,10,9,9,9,8,8,9,10,10,10,10,8,8,9,7,9,10,10,10,10,8,9,8,9,7,9,10,9,10,10
10900113010,4,5,6,7,4,7,9,9,10,7,4,6,5,7,5,7,9,9,7,7,5,5,6,7,8,8,10,9,8,6,7,6,6,8,8,8,9,9,8,7,6,5,6,6,8,8,9,8
10900113011,6,7,8,6,7,8,9,9,9,6,6,8,6,8,6,8,9,9,8,6,6,7,5,6,8,8,9,9,9,8,8,7,7,7,7,8,9,9,8,8,6,6,6,7,7,8,10,9
10900113012,5,4,5,6,4,7,7,9,7,6,4,6,4,6,4,7,7,7,8,4,4,4,4,5,8,7,8,9,8,5,6,4,4,4,7,6,9,7,7,5,5,4,4,4,7,7,6,8
10900113013,8,6,9,9,9,10,9,10,10,7,8,8,7,9,8,9,9,10,10,8,8,8,8,8,10,9,9,9,10,9,7,9,8,8,8,9,10,10,8,7,8,9,7,9,8,10,10,9
10900113014,7,7,8,9,8,10,9,9,8,7,7,9,6,8,6,8,10,9,9,8,8,9,8,8,9,10,9,9,10,9,9,8,7,8,8,9,9,10,7,8,7,8,8,10,8,9,9,9
10900113015,8,7,9,8,9,10,9,9,9,7,7,7,9,7,7,9,9,9,8,7,8,9,9,8,9,9,10,9,9,8,9,8,8,9,8,9,9,10,8,9,8,9,7,10,8,10,10,9
10900113016,8,6,7,6,7,8,8,10,10,7,6,7,7,8,6,8,9,9,10,6,7,8,5,6,7,8,10,9,10,6,8,9,7,7,8,10,10,9,8,7,8,7,5,8,8,9,10,8
10900113017,9,8,8,9,8,10,8,9,10,7,8,8,7,7,7,10,9,9,9,8,7,7,7,7,10,9,10,9,10,8,8,8,8,8,9,10,9,10,7,8,7,7,6,10,9,10,10,9
10900113018,8,6,8,7,7,9,8,10,10,7,7,7,8,8,6,9,9,8,9,9,9,9,8,7,8,9,10,10,10,8,8,10,9,8,10,10,10,10,8,9,8,9,8,10,10,10,10,10
10900113019,8,7,6,8,6,9,8,9,8,6,8,7,7,6,7,8,9,9,10,8,8,7,7,6,8,8,10,10,10,7,7,8,7,8,9,10,10,9,8,7,6,7,5,6,9,7,9,8
10900113020,7,6,8,8,7,8,9,9,9,7,7,8,5,8,6,7,9,9,8,7,7,7,6,7,10,8,9,10,9,8,7,6,7,7,8,8,9,8,8,8,6,7,7,7,9,8,8,8
10900113021,6,7,6,7,5,9,8,10,9,7,5,7,5,8,6,7,8,8,8,7,6,7,6,7,10,8,9,10,9,8,7,7,6,8,8,8,10,8,8,7,5,8,7,9,9,9,10,9
10900113022,8,7,6,7,6,9,8,9,9,7,6,7,6,7,6,8,10,8,8,8,6,6,4,7,8,8,10,9,8,8,8,9,8,8,9,10,9,10,8,7,7,7,7,9,9,8,10,8
10900113023,8,8,9,8,7,9,8,9,9,8,8,8,8,8,6,9,10,9,10,8,8,9,8,7,9,9,9,9,9,9,8,8,8,9,9,9,8,10,8,8,7,8,7,10,10,8,9,9
10900113025,5,5,6,6,4,7,7,8,6,6,4,6,5,5,4,8,9,7,7,5,5,5,4,4,7,7,9,9,7,7,5,4,4,5,7,6,8,6,6,7,4,4,5,6,7,7,8,6
10900113026,8,9,10,9,9,9,8,9,9,8,9,9,8,8,9,9,9,9,10,9,10,9,9,9,10,10,10,9,10,9,9,8,9,8,10,10,9,10,8,8,7,8,8,10,10,9,10,10
