,0,1,2,3,4,5,6,7,8,9
10900113001,CS301,CS201,CS303,CS604A/ CS604B,CS302,CS503,CS603,CS393,M(CS)401,CS401
10900113002,CS301,CS604A/ CS604B,CS201,CS401,CS402,CS601,CS602,CS302,CS303,CS391
10900113003,CS604A/ CS604B,CS301,CS303,CS503,CS403,CS602,CS603,CS302,M(CS)401,CS401
10900113004,CS301,CS604A/ CS604B,CS201,CS403,CS602,CS303,CS402,CS501,CS502,CS603
10900113006,CS301,CS201,CS401,CS402,CS403,CS602,CS604A/ CS604B,CS303,CS503,CS601
10900113007,CS303,CS301,CS604A/ CS604B,CS402,CS503,CS201,CS302,CS393,CS403,CS502
10900113008,CS301,CS303,CS402,CS403,CS502,CS503,CS504D,CS604A/ CS604B,CS201,CS302
10900113009,CS301,CS503,CS604A/ CS604B,CS201,CS303,CS402,CS403,CS501,CS602,CS302
10900113010,CS201,CS301,CS303,CS401,CS603,CS402,CS502,CS503,CS602,CS604A/ CS604B
10900113011,CS402,CS201,CS301,CS303,M(CS)401,CS403,CS602,CS603,CS604A/ CS604B,CS401
10900113012,CS301,CS303,M(CS)401,CS401,CS402,CS502,CS503,CS504D,CS603,CS604A/ CS604B
10900113013,CS301,CS501,CS601,CS604A/ CS604B,CS201,CS303,M(CS)401,CS401,CS402,CS403
10900113014,CS301,CS303,CS201,CS503,CS602,CS302,M(CS)401,CS402,CS403,CS502
10900113015,CS302,CS303,M(CS)401,CS604A/ CS604B,CS201,CS393,CS403,CS502,CS503,CS591
10900113016,CS402,CS604A/ CS604B,CS303,M(CS)401,CS403,CS301,CS503,CS504D,CS601,CS603
10900113017,CS604A/ CS604B,CS301,CS302,CS303,CS401,CS402,CS403,CS602,CS603,M(CS)401
10900113018,CS303,CS403,CS201,CS301,CS302,CS392,CS402,CS501,CS504D,CS602
10900113019,CS604A/ CS604B,CS302,CS403,CS602,CS605A,CS301,CS303,CS401,CS402,CS501
10900113020,CS301,CS303,CS402,CS502,CS602,CS201,M(CS)401,CS401,CS403,CS501
10900113021,CS301,CS602,CS201,CS303,CS402,CS503,M(CS)401,CS401,CS403,CS501
10900113022,CS402,CS301,CS303,CS401,CS302,CS403,CS601,CS602,CS603,CS604A/ CS604B
10900113023,CS303,CS403,CS602,CS604A/ CS604B,CS201,CS301,CS302,M(CS)401,CS402,CS501
10900113025,CS303,CS402,CS403,CS502,CS503,CS602,CS603,CS201,CS301,CS302
10900113026,CS602,CS201,CS301,CS302,CS502,CS504D,CS601,CS603,CS604A/ CS604B,CS291
10900113027,CS301,M(CS)401,CS604A/ CS604B,CS302,CS303,CS393,CS401,CS403,CS502,CS503
10900113028,CS201,CS301,CS303,M(CS)401,CS604A/ CS604B,CS401,CS403,CS502,CS503,CS504D
10900113029,CS301,CS401,CS605A,CS303,M(CS)401,CS403,CS502,CS504D,CS302,CS501
10900113030,CS301,CS401,CS402,CS403,CS604A/ CS604B,CS302,CS303,M(CS)401,CS502,CS503
10900113031,CS604A/ CS604B,M(CS)401,CS403,CS303,CS401,CS502,CS602,CS603,CS201,CS301
10900113032,CS201,CS604A/ CS604B,CS291,CS303,M(CS)401,CS401,CS503,CS301,CS502,CS602
10900113033,CS604A/ CS604B,CS403,CS301,CS303,CS501,CS602,CS603,CS401,CS502,CS503
10900113034,CS604A/ CS604B,CS301,CS403,CS201,CS303,CS401,CS402,CS501,CS503,CS602
10900113035,CS303,CS504D,CS604A/ CS604B,CS301,CS401,CS402,CS403,CS501,CS502,CS201
10900113036,CS604A/ CS604B,CS301,CS303,CS403,CS501,CS602,M(CS)401,CS502,CS593,CS601
