,0,1,2,3,4,5,6,7,8,9
10900113001,ES291,PH391,HU481,CH291,ME291,CH301,HU601,CH201,ES201,HU301
10900113002,ES291,ME291,HU481,ME201,ES201,CH291,PH301,M401,CH201,HU301
10900113003,PH391,HU481,CH291,ME291,CH301,CH201,M201,ES291,M401,HU501
10900113004,PH391,HU481,ES291,CH301,CH201,M201,CH291,ME291,HU301,PH301
10900113006,HU481,ES201,ES291,ME291,CH301,PH391,ME201,CH291,M401,CH201
10900113007,ME201,CH291,ES291,PH391,HU481,CH201,ME291,CH301,HU601,M201
10900113008,ES291,HU481,CH291,ME291,PH391,HU601,CH201,M201,ME201,ES201
10900113009,ES291,ME291,M201,ME201,CH291,PH301,CH301,PH391,M401,HU481
10900113010,ME291,CH291,ES291,HU481,HU601,ME201,HU301,PH391,M201,CH301
10900113011,CH291,ES291,ME291,M201,CH301,PH391,HU481,HU501,HU601,CH201
10900113012,ES291,HU481,CH291,ME291,PH391,HU601,ME201,HU301,CH301,M201
10900113013,ES291,ME291,HU481,M201,ME201,ES201,CH291,PH391,HU501,PH301
10900113014,ME201,CH291,ES291,CH301,HU481,HU501,M201,ES201,ME291,PH391
10900113015,M201,ES201,CH291,ES291,ME291,PH391,HU481,ME201,M401,HU501
10900113016,ES291,ME291,CH291,PH391,HU601,M201,ES201,HU301,CH301,M401
10900113017,ME291,PH391,HU481,ME201,ES291,CH201,M201,ES201,CH291,PH301
10900113018,ES291,ME291,PH391,M401,M201,CH291,HU481,HU501,HU601,ME201
10900113019,ES291,ME201,CH291,ME291,PH301,PH391,M401,HU481,HU601,CH201
10900113020,HU481,CH291,ES291,ME291,M201,ME201,CH301,HU501,HU601,ES201
10900113021,ES291,HU481,ME291,CH291,HU501,HU601,CH201,ME201,HU301,CH301
10900113022,ES291,ME291,CH291,PH391,HU481,HU501,HU601,CH201,ME201,HU301
10900113023,M201,ES291,ME291,PH391,HU481,HU501,CH201,ME201,CH291,HU301
10900113025,ES291,PH391,CH291,HU481,HU501,M201,ME201,ME291,HU301,CH301
