RollNo.,CH201,M201,ME201,ES201,CH291,ES291,ME291,HU301,PH301,CH301,PH391,M401,HU481,HU501,HU601
10900113001,7,6,5,7,8,10,8,7,6,8,10,7,10,7,8
10900113002,8,7,9,9,9,10,10,8,9,8,8,9,10,8,8
10900113003,8,8,7,7,9,8,9,7,7,9,10,8,10,8,7
10900113004,8,8,7,7,8,9,8,8,8,9,10,8,10,7,8
10900113006,7,6,8,9,8,9,9,7,7,9,9,8,10,7,7
10900113007,8,7,9,7,9,9,8,7,6,8,9,7,9,7,8
10900113008,7,7,7,7,8,9,8,6,5,7,8,5,9,5,8
10900113009,8,9,9,8,9,10,10,8,9,9,9,9,9,8,8
10900113010,5,6,7,4,9,9,10,7,4,6,7,5,8,6,8
10900113011,7,8,6,7,9,9,9,6,6,8,8,6,8,8,8
10900113012,4,5,6,4,7,9,7,6,4,6,7,4,8,5,7
10900113013,6,9,9,9,9,10,10,7,8,8,9,8,10,9,8
10900113014,7,8,9,8,9,9,8,7,7,9,8,8,9,9,7
10900113015,7,9,8,9,9,9,9,7,7,7,9,8,9,8,8
10900113016,6,7,6,7,8,10,10,7,6,7,8,7,7,6,8
10900113017,8,8,9,8,8,9,10,7,8,8,10,7,10,8,7
10900113018,6,8,7,7,8,10,10,7,7,7,9,9,8,8,8
10900113019,7,6,8,6,8,9,8,6,8,7,8,8,8,7,8
10900113020,6,8,8,7,9,9,9,7,7,8,7,7,10,8,8
10900113021,7,6,7,5,8,10,9,7,5,7,7,6,10,8,8
10900113022,7,6,7,6,8,9,9,7,6,7,8,6,8,8,8
10900113023,8,9,8,7,8,9,9,8,8,8,9,8,9,9,8
10900113025,5,6,6,4,7,8,6,6,4,6,8,5,7,7,6
10900113026,9,10,9,9,8,9,9,8,9,9,9,10,10,9,8
10900113027,8,8,6,6,8,10,9,8,7,8,9,6,8,8,8
10900113028,8,9,8,7,8,10,8,7,7,7,9,6,9,8,7
10900113029,5,7,8,5,8,9,7,8,4,7,9,4,10,7,7
10900113030,6,8,7,7,9,9,10,7,7,7,8,6,8,8,7
10900113031,7,6,7,5,8,9,10,9,7,8,8,6,9,9,8
10900113032,6,5,7,5,6,8,4,8,6,9,9,6,8,7,8
10900113033,6,10,6,8,10,9,9,8,7,8,9,10,10,8,7
10900113034,6,6,7,6,7,9,7,7,8,5,8,6,8,7,7
10900113035,5,6,4,5,7,9,7,7,4,6,8,6,10,7,8
10900113036,8,8,9,8,8,9,8,9,7,9,9,7,9,7,8
10900113037,5,5,5,5,6,8,7,7,5,6,7,6,6,7,7
10900113038,7,8,7,6,8,10,10,8,7,7,8,9,9,7,7
10900113039,7,9,7,8,10,9,8,9,6,8,9,9,9,7,8
10900113040,8,7,7,8,9,9,9,8,6,8,8,6,10,8,9
10900113041,6,7,5,6,7,9,7,7,5,6,8,7,9,8,8
10900113042,6,6,6,5,7,8,8,7,4,8,7,5,9,8,7
10900113043,8,7,7,8,8,9,9,8,8,8,10,8,9,8,7
10900113044,6,6,6,5,6,8,8,8,4,5,7,4,7,6,7
10900113045,8,8,7,6,8,9,8,7,7,7,8,7,8,7,8
10900113046,8,6,8,7,8,9,9,8,5,7,8,5,9,9,8
10900113047,8,9,7,7,8,8,9,7,6,6,7,8,9,7,8
10900113048,7,6,7,8,9,10,10,8,6,8,9,8,9,7,8
10900113049,8,6,8,7,9,9,9,7,5,8,9,6,9,7,8
10900113050,5,6,7,4,6,9,8,8,5,5,7,6,9,7,7
10900113051,8,7,7,7,9,9,9,8,7,8,9,6,9,9,8
10900113052,6,6,7,7,7,9,8,8,4,6,7,6,8,4,7
10900113053,5,6,6,4,7,8,7,8,5,6,6,5,8,7,7
10900113054,7,8,7,6,9,9,9,8,7,7,10,6,9,8,8
10900113055,7,10,8,8,9,9,10,8,7,9,10,9,9,8,8
10900113056,5,7,8,6,8,9,9,8,7,7,7,5,8,7,8
10900113057,5,6,5,5,8,8,8,6,4,7,7,6,8,7,7
10900113058,8,7,9,7,9,9,9,8,7,8,9,7,10,9,9
10900113059,7,6,8,8,8,10,9,8,8,9,8,8,9,8,8
10900113060,6,5,8,6,7,8,6,7,7,7,6,3,8,7,8
10900113061,5,7,6,5,6,9,7,6,6,4,6,6,7,5,7
10900113062,6,6,6,7,8,8,9,7,6,6,7,6,9,8,8
10900113063,6,8,6,7,9,10,9,8,7,7,7,7,9,9,7
10900113064,8,8,8,9,9,10,9,8,8,8,9,8,9,8,8
10900113065,7,6,7,7,9,8,10,7,7,5,8,7,8,9,8
10900113066,5,5,6,6,8,9,9,7,6,7,7,7,9,9,7
10900113067,6,10,9,8,8,9,9,8,7,8,9,7,8,8,8
10900113068,6,7,7,7,8,9,8,8,8,8,7,7,8,7,8
10900113069,7,7,8,8,9,9,9,9,9,9,9,6,9,9,8
10900113070,7,7,6,7,9,9,8,8,6,7,7,6,9,8,8
10900113071,6,8,6,7,9,10,10,7,7,9,9,6,10,7,8
10900113072,7,8,8,6,8,9,10,7,7,8,9,6,9,7,8
10900113073,7,8,6,6,8,10,9,8,5,7,7,5,8,8,7
10900113074,7,8,6,6,8,8,8,7,4,6,6,5,9,8,7
10900113075,5,8,6,6,8,9,10,7,5,6,8,5,9,8,7
10900113076,7,8,6,7,8,9,10,8,5,9,8,8,10,8,7
10900113077,6,8,6,7,7,9,10,7,6,7,6,5,9,7,7
10900113078,6,7,5,5,7,9,7,7,4,7,6,4,9,7,7
10900113079,8,8,9,10,8,10,10,8,9,9,10,9,9,8,9
10900113080,8,8,9,9,10,10,9,7,9,9,9,7,9,8,8
10900113081,4,7,6,5,8,8,9,7,5,6,7,5,8,7,6
10900113082,5,5,4,4,7,9,5,6,4,6,6,4,8,7,7
10900113083,10,10,10,9,10,10,10,8,10,10,10,10,9,10,9
10900113084,8,10,9,7,9,10,9,7,8,9,9,7,9,8,7
10900113085,6,8,6,7,8,9,8,8,6,8,8,6,8,9,8
10900113086,7,7,8,7,9,9,8,8,6,8,10,5,9,8,8
10900113087,7,9,8,8,8,9,10,7,8,8,8,7,9,9,7
10900113088,7,7,7,7,7,9,7,7,7,9,9,9,8,9,7
10900113089,7,9,8,8,8,9,8,7,6,7,10,8,8,8,7
10900113091,6,7,8,6,8,10,8,8,6,7,9,6,8,7,8
10900113092,8,6,7,8,9,10,9,8,8,9,8,8,10,8,8
10900113093,7,7,7,6,9,10,9,7,6,8,9,7,8,7,8
10900113094,6,6,6,7,7,10,8,6,7,8,8,7,9,6,8
10900113096,4,6,5,5,7,9,9,7,6,7,8,5,9,6,7
10900113097,4,5,5,5,7,9,7,7,4,7,8,4,8,7,7
10900113099,8,7,7,7,8,9,7,7,5,9,9,5,9,7,8
10900113100,8,7,8,8,9,9,9,7,8,9,9,8,9,8,8
10900113101,9,7,8,7,9,10,8,8,8,9,7,8,9,7,8
10900113102,9,7,9,8,9,9,10,8,9,9,8,8,9,8,8
10900113103,5,7,5,5,7,9,10,8,6,8,7,6,8,6,7
10900113104,6,6,6,7,7,9,7,8,6,7,6,5,7,8,7
10900113105,8,6,6,8,7,9,6,8,7,8,8,8,8,8,8
10900113106,6,8,5,7,8,9,8,8,6,9,8,7,10,6,8
10900113107,4,4,4,4,6,7,4,5,4,4,6,4,6,4,4
10900113108,9,9,8,7,9,10,10,8,9,8,10,9,9,8,9
10900113109,8,8,6,7,8,9,8,8,8,7,8,8,9,8,8
10900113110,8,9,8,7,8,10,10,8,9,6,9,8,9,8,8
10900113111,9,9,9,8,10,10,10,8,9,7,10,9,10,9,9
10900113112,8,9,8,6,9,9,9,7,8,7,9,8,9,7,7
10900113113,7,5,6,6,9,9,8,6,7,5,8,6,8,6,7
