, ROLL NO. ,HU501,CS501,CS502,CS503,CS504D,CS591,CS592,CS593,CS594D, SGPA 
0, 10900113001 ,B,A,A,B,A,A,E,E,E,8.00
1, 10900113002 ,A,E,O,E,E,O,O,O,O,9.35
2, 10900113003 ,A,E,E,C,A,E,O,O,E,8.54
3, 10900113004 ,B,A,A,E,E,E,O,E,O,8.62
4, 10900113006 ,B,E,E,A,E,O,O,O,O,8.96
5, 10900113007 ,B,E,A,B,A,E,E,E,O,8.31
6, 10900113008 ,D,A,C,C,C,A,A,E,B,6.81
7, 10900113009 ,A,A,E,B,E,O,O,O,O,8.81
8, 10900113010 ,C,B,C,C,A,A,A,E,E,7.23
9, 10900113011 ,A,A,B,B,B,B,A,E,E,7.65
10, 10900113012 ,D,C,F,F,F,B,C,E,B,4.58
11, 10900113013 ,E,B,E,A,A,A,E,O,O,8.50
12, 10900113014 ,E,E,A,B,A,A,E,E,O,8.46
13, 10900113015 ,A,E,A,A,E,A,E,E,O,8.62
14, 10900113016 ,C,A,E,B,B,A,O,O,E,8.04
15, 10900113017 ,A,A,A,A,A,E,O,E,O,8.46
16, 10900113018 ,A,A,O,E,A,O,O,O,O,9.04
17, 10900113019 ,B,B,A,B,A,E,O,O,E,8.08
18, 10900113020 ,A,B,C,B,B,A,A,E,A,7.35
19, 10900113021 ,A,B,B,C,A,A,A,O,A,7.62
20, 10900113022 ,A,A,E,A,A,E,O,E,O,8.62
21, 10900113023 ,E,A,A,A,E,E,E,A,O,8.58
22, 10900113025 ,B,D,F,F,D,B,C,A,C,4.96
23, 10900113026 ,E,E,A,E,A,O,O,E,O,8.92
24, 10900113027 ,A,A,B,B,B,A,A,E,E,7.73
25, 10900113028 ,A,A,B,B,B,E,B,O,E,7.81
26, 10900113029 ,B,C,D,C,D,A,A,A,A,6.42
27, 10900113030 ,A,A,B,B,A,E,E,E,A,7.96
28, 10900113031 ,E,A,B,A,E,O,E,E,O,8.58
29, 10900113032 ,B,A,B,C,A,E,E,A,E,7.73
30, 10900113033 ,A,B,A,A,A,E,O,O,O,8.38
31, 10900113034 ,B,B,A,B,E,O,O,E,O,8.31
32, 10900113035 ,B,D,D,B,F,A,B,A,B,5.77
33, 10900113036 ,B,B,A,E,E,O,E,A,O,8.38
34, 10900113037 ,B,D,D,C,C,B,A,E,A,6.42
35, 10900113038 ,B,A,A,B,E,O,O,E,O,8.46
36, 10900113039 ,B,E,A,E,A,O,O,A,O,8.62
37, 10900113040 ,A,A,A,B,E,E,O,E,O,8.50
38, 10900113041 ,A,B,B,B,A,E,O,E,O,8.04
39, 10900113042 ,A,C,B,D,C,A,A,A,A,6.88
40, 10900113043 ,A,E,A,A,A,A,E,O,E,8.46
41, 10900113044 ,C,C,C,C,F,B,B,A,C,5.69
42, 10900113045 ,B,A,B,C,B,B,B,A,B,7.12
43, 10900113046 ,E,B,B,B,C,B,A,A,B,7.23
44, 10900113047 ,B,A,A,C,E,E,O,O,E,8.27
45, 10900113048 ,B,A,E,C,A,E,O,E,O,8.27
46, 10900113049 ,B,B,C,B,B,A,A,E,A,7.23
47, 10900113050 ,B,B,C,C,B,A,A,A,B,6.96
48, 10900113051 ,E,A,B,B,A,A,E,E,E,8.08
49, 10900113052 ,F,B,C,C,D,A,A,A,C,6.00
50, 10900113053 ,B,B,C,D,B,A,B,A,B,6.77
51, 10900113054 ,A,A,B,B,E,O,O,E,O,8.42
52, 10900113055 ,A,E,B,A,E,O,O,O,O,8.77
53, 10900113056 ,B,C,C,B,B,A,A,E,B,7.00
54, 10900113057 ,B,F,D,F,C,B,B,O,B,5.42
55, 10900113058 ,E,A,E,A,A,O,O,A,O,8.73
56, 10900113059 ,A,E,E,E,A,O,E,E,E,8.81
57, 10900113060 ,B,B,C,B,B,A,B,E,B,7.08
58, 10900113061 ,D,D,C,B,D,B,B,E,B,6.15
59, 10900113062 ,A,C,C,C,C,A,A,E,A,6.92
60, 10900113063 ,E,B,A,B,B,E,A,O,E,8.00
61, 10900113064 ,A,A,A,A,B,E,O,E,E,8.23
62, 10900113065 ,E,B,C,B,C,E,B,E,B,7.23
63, 10900113066 ,E,C,B,B,C,A,B,E,A,7.23
64, 10900113067 ,A,A,B,B,B,O,O,O,E,8.12
65, 10900113068 ,B,C,A,B,B,A,B,O,B,7.31
66, 10900113069 ,E,A,O,A,O,O,O,O,O,9.35
67, 10900113070 ,A,B,B,B,B,A,B,E,B,7.35
68, 10900113071 ,B,B,B,E,E,E,A,O,E,8.15
69, 10900113072 ,B,B,A,B,A,O,O,O,O,8.23
70, 10900113073 ,A,C,D,D,C,A,B,O,B,6.58
71, 10900113074 ,A,B,C,F,C,A,B,E,B,6.46
72, 10900113075 ,A,B,D,D,B,A,A,O,A,7.04
73, 10900113076 ,A,E,B,C,E,O,O,O,O,8.54
74, 10900113077 ,B,A,C,B,A,E,O,E,E,7.85
75, 10900113078 ,B,D,D,B,C,A,B,O,B,6.54
76, 10900113079 ,A,E,A,E,E,O,O,O,O,9.04
77, 10900113080 ,A,E,A,B,E,O,O,O,O,8.81
78, 10900113081 ,B,A,D,C,B,E,A,E,B,7.12
79, 10900113082 ,B,D,F,D,D,B,B,E,C,5.46
80, 10900113083 ,O,O,E,O,O,O,O,O,O,9.85
81, 10900113084 ,A,E,B,A,B,E,O,O,O,8.38
82, 10900113085 ,E,A,C,B,B,E,A,E,E,7.77
83, 10900113086 ,A,E,B,B,E,O,O,O,O,8.65
84, 10900113087 ,E,A,B,C,B,E,A,O,E,7.88
85, 10900113088 ,E,A,A,C,A,E,A,O,A,8.12
86, 10900113089 ,A,A,A,B,A,E,O,O,E,8.35
87, 10900113091 ,B,B,B,C,C,E,B,E,A,7.12
88, 10900113092 ,A,A,E,B,B,E,E,O,O,8.35
89, 10900113093 ,B,A,E,B,B,E,E,O,O,8.23
90, 10900113094 ,C,A,B,C,B,E,E,O,O,7.69
91, 10900113096 ,C,B,C,C,B,E,B,O,E,7.15
92, 10900113097 ,B,D,C,D,B,A,A,O,O,6.92
93, 10900113099 ,B,A,C,C,A,E,A,O,A,7.58
94, 10900113100 ,A,A,A,B,E,E,E,E,E,8.35
95, 10900113101 ,B,E,E,A,A,O,A,O,O,8.65
96, 10900113102 ,A,E,O,B,E,O,E,O,O,9.04
97, 10900113103 ,C,B,D,B,B,E,B,E,A,6.96
98, 10900113104 ,A,C,C,C,A,E,B,E,A,7.23
99, 10900113105 ,A,B,C,B,A,E,A,O,E,7.73
100, 10900113106 ,C,B,C,A,E,O,A,A,E,7.69
101, 10900113107 ,F,F,F,F,D,C,B,A,C,3.92
102, 10900113108 ,A,A,B,A,E,O,O,O,O,8.62
103, 10900113109 ,A,A,C,B,E,O,O,E,E,8.19
104, 10900113110 ,A,E,B,B,E,O,O,E,O,8.58
105, 10900113111 ,E,E,E,E,O,O,O,E,O,9.38
106, 10900113112 ,B,E,A,B,E,O,O,E,E,8.54
107, 10900113113 ,C,B,C,B,A,A,B,O,A,7.27
108, 10900113114 ,B,E,B,C,E,E,O,O,O,8.35
109, 10900113115 ,C,B,C,D,B,A,A,A,C,6.65
110, 10900113116 ,B,B,C,C,B,E,E,O,E,7.42
111, 10900113117 ,C,B,A,A,E,E,O,O,E,8.23
112, 10900114124 ,B,B,D,C,C,A,E,E,A,6.88
113, 10900114126 ,C,C,B,D,C,A,A,O,B,6.73
114, 10900114127 ,C,A,A,B,A,E,E,E,A,7.88
115, 10900114128 ,B,B,C,D,C,B,B,E,B,6.62
116, 10900114129 ,B,B,D,F,C,A,B,C,A,6.04
117, 10900114130 ,B,C,D,C,F,C,B,A,B,5.65
118, 10900114131 ,B,C,D,C,C,B,B,A,B,6.35
119, 10900114132 ,D,D,F,F,D,A,B,C,B,4.81
120, 10900114133 ,B,A,B,B,A,A,A,C,B,7.38
