,ROLL NO.,HU601,CS601,CS602,CS603,CS604A/ CS604B,CS605A,CS691,CS692,CS693,CS681,SGPA5,SGPA6,YGPA,RESULT
0,10900110054,B,D,D,B,C,C,A,A,B,A,6.46,6.5,6.48,P
1,10900112127,B,D,F,D,D,D,C,B,C,I,4.92,4.88,4.9,XP
2,10900112138,C,D,B,C,D,A,A,B,B,A,6.65,6.65,6.65,P
3,10900112147,B,D,C,B,C,D,B,A,B,E,6.27,6.46,6.37,P
4,10900112243,D,D,D,D,F,D,A,A,B,B,5.92,5.42,5.67,XP
5,10900113001,A,A,A,B,C,A,E,A,E,E,8.0,7.88,7.94,P
6,10900113002,A,A,A,O,B,O,O,O,O,O,9.35,9.04,9.19,P
7,10900113003,B,A,B,B,D,A,E,A,O,E,8.54,7.65,8.1,P
8,10900113025,C,B,F,F,D,C,B,B,A,C,4.96,5.38,5.17,XP
9,10900113026,A,A,B,A,A,O,O,E,O,O,8.92,8.73,8.83,P
10,10900113027,A,A,A,B,C,A,A,A,A,E,7.73,7.73,7.73,P
11,10900113028,B,B,B,B,C,A,E,A,A,B,7.81,7.35,7.58,P
12,10900113029,B,A,C,C,C,F,A,A,E,B,6.42,6.31,6.37,XP
13,10900113030,B,A,B,B,C,B,E,A,E,A,7.96,7.46,7.71,P
14,10900113031,A,A,B,B,D,A,O,A,E,O,8.58,7.81,8.19,P
15,10900113032,A,A,B,B,D,E,E,A,E,A,7.73,7.73,7.73,P
16,10900113033,B,A,B,B,D,O,E,E,O,E,8.38,8.04,8.21,P
17,10900113034,B,A,B,B,F,A,O,E,E,B,8.31,7.23,7.77,XP
18,10900113035,A,B,C,C,F,C,A,E,C,C,5.77,6.19,5.98,XP
19,10900113036,A,A,B,A,D,O,O,E,O,E,8.38,8.31,8.35,P
20,10900113037,B,A,D,D,I,F,B,B,F,A,6.42,5.0,5.71,XP
21,10900113038,B,A,C,B,C,O,O,O,O,E,8.46,8.19,8.33,P
22,10900113039,A,A,A,A,C,E,O,E,O,O,8.62,8.46,8.54,P
23,10900113040,E,A,B,A,D,E,O,A,E,O,8.5,8.15,8.33,P
24,10900113041,A,A,C,A,F,A,E,A,O,O,8.04,7.46,7.75,XP
25,10900113042,B,A,C,B,D,B,A,A,A,A,6.88,7.08,6.98,P
26,10900113043,B,A,B,A,D,A,E,A,O,E,8.46,7.77,8.12,P
27,10900113044,B,C,F,D,F,D,B,B,B,B,5.69,5.19,5.44,XP
28,10900113045,A,C,D,B,F,C,B,B,B,B,7.12,6.0,6.56,XP
29,10900113046,A,B,C,B,F,C,B,A,O,A,7.23,6.62,6.92,XP
30,10900113047,A,A,B,A,D,B,E,E,O,E,8.27,7.77,8.02,P
31,10900113048,A,A,A,A,D,E,E,O,O,E,8.27,8.27,8.27,P
32,10900113049,A,A,D,C,F,C,A,E,E,B,7.23,6.5,6.87,XP
33,10900113050,B,C,C,C,F,A,A,A,E,B,6.96,6.54,6.75,XP
34,10900113051,A,A,C,A,D,E,A,A,E,A,8.08,7.65,7.87,P
35,10900113052,B,B,C,C,F,B,A,B,B,A,6.0,6.35,6.17,XP
36,10900113053,B,B,C,B,F,B,A,E,A,A,6.77,6.69,6.73,XP
37,10900113054,A,A,C,A,F,O,O,A,O,O,8.42,7.85,8.13,XP
38,10900113055,A,A,B,O,C,O,O,O,O,O,8.77,8.81,8.79,P
39,10900113056,A,B,C,B,F,A,A,A,E,A,7.0,6.92,6.96,XP
40,10900113057,B,C,C,C,I,F,B,A,A,B,5.42,5.46,5.44,XP
41,10900113058,E,E,A,E,D,O,O,E,O,E,8.73,8.73,8.73,P
42,10900113059,A,A,A,E,D,O,E,O,O,E,8.81,8.54,8.67,P
43,10900113060,A,B,C,B,F,C,C,A,B,B,7.08,6.23,6.65,XP
44,10900113061,B,D,D,F,F,D,B,A,B,A,6.15,5.23,5.69,XP
45,10900113062,A,C,B,C,F,B,A,A,E,E,6.92,6.73,6.83,XP
46,10900113063,B,B,B,A,C,A,A,E,O,E,8.0,7.77,7.88,P
47,10900113064,A,A,A,A,C,O,E,O,E,E,8.23,8.46,8.35,P
48,10900113004,A,E,B,A,C,O,E,O,O,E,8.62,8.54,8.58,P
49,10900113005,I,I,I,I,I,I,I,I,I,I,0.0,2.0,0.0,XP
50,10900113006,B,A,B,A,B,E,O,A,O,E,8.96,8.23,8.6,P
51,10900113007,A,A,A,A,C,O,E,E,O,E,8.31,8.46,8.38,P
52,10900113008,A,B,B,A,C,B,A,A,A,A,6.81,7.38,7.1,P
53,10900113009,A,E,A,E,B,E,O,E,O,O,8.81,8.81,8.81,P
54,10900113010,A,B,C,D,C,C,A,A,E,A,7.23,6.85,7.04,P
55,10900113011,A,A,C,C,C,B,B,A,O,E,7.65,7.31,7.48,P
56,10900113012,B,D,D,F,F,F,B,B,C,A,4.58,4.62,4.6,XP
57,10900113013,A,B,A,E,B,E,A,O,O,E,8.5,8.42,8.46,P
58,10900113014,B,A,B,A,A,O,A,E,E,E,8.46,8.35,8.4,P
59,10900113015,A,E,A,E,B,O,A,O,O,E,8.62,8.81,8.71,P
60,10900113016,A,B,A,B,D,A,A,E,O,A,8.04,7.65,7.85,P
61,10900113017,B,A,B,B,C,O,E,O,O,E,8.46,8.23,8.35,P
